county_desc,precinct_code,precinct_name,candidate_name,candidate_party_lbl,cnt,num_votes
MECKLENBURG,093,PCT 093,Dan McCready,DEM,5,606
MECKLENBURG,093,PCT 093,Jeff Scott,LIB,5,24
MECKLENBURG,093,PCT 093,Mark Harris,REP,5,633
MECKLENBURG,096,PCT 096,Dan McCready,DEM,5,834
MECKLENBURG,096,PCT 096,Jeff Scott,LIB,5,17
MECKLENBURG,096,PCT 096,Mark Harris,REP,5,501
MECKLENBURG,100,PCT 100,Dan McCready,DEM,5,1114
MECKLENBURG,100,PCT 100,Jeff Scott,LIB,5,33
MECKLENBURG,100,PCT 100,Mark Harris,REP,5,765
MECKLENBURG,101,PCT 101,Dan McCready,DEM,5,853
MECKLENBURG,101,PCT 101,Jeff Scott,LIB,5,35
MECKLENBURG,101,PCT 101,Mark Harris,REP,5,664
MECKLENBURG,103,PCT 103,Dan McCready,DEM,5,1267
MECKLENBURG,103,PCT 103,Jeff Scott,LIB,5,25
MECKLENBURG,103,PCT 103,Mark Harris,REP,5,1041
MECKLENBURG,110,PCT 110,Dan McCready,DEM,5,580
MECKLENBURG,110,PCT 110,Jeff Scott,LIB,5,19
MECKLENBURG,110,PCT 110,Mark Harris,REP,5,393
MECKLENBURG,111,PCT 111,Dan McCready,DEM,5,1161
MECKLENBURG,111,PCT 111,Jeff Scott,LIB,5,34
MECKLENBURG,111,PCT 111,Mark Harris,REP,5,737
MECKLENBURG,112,PCT 112,Dan McCready,DEM,5,752
MECKLENBURG,112,PCT 112,Jeff Scott,LIB,5,36
MECKLENBURG,112,PCT 112,Mark Harris,REP,5,722
MECKLENBURG,113,PCT 113,Dan McCready,DEM,5,1259
MECKLENBURG,113,PCT 113,Jeff Scott,LIB,5,25
MECKLENBURG,113,PCT 113,Mark Harris,REP,5,1074
MECKLENBURG,114,PCT 114,Dan McCready,DEM,5,1083
MECKLENBURG,114,PCT 114,Jeff Scott,LIB,5,39
MECKLENBURG,114,PCT 114,Mark Harris,REP,5,854
MECKLENBURG,118,PCT 118,Dan McCready,DEM,5,1084
MECKLENBURG,118,PCT 118,Jeff Scott,LIB,5,28
MECKLENBURG,118,PCT 118,Mark Harris,REP,5,691
MECKLENBURG,119,PCT 119,Dan McCready,DEM,5,671
MECKLENBURG,119,PCT 119,Jeff Scott,LIB,5,19
MECKLENBURG,119,PCT 119,Mark Harris,REP,5,426
MECKLENBURG,121,PCT 121,Dan McCready,DEM,5,1393
MECKLENBURG,121,PCT 121,Jeff Scott,LIB,5,47
MECKLENBURG,121,PCT 121,Mark Harris,REP,5,1342
MECKLENBURG,131,PCT 131,Dan McCready,DEM,5,680
MECKLENBURG,131,PCT 131,Jeff Scott,LIB,5,20
MECKLENBURG,131,PCT 131,Mark Harris,REP,5,579
MECKLENBURG,136,PCT 136,Dan McCready,DEM,5,756
MECKLENBURG,136,PCT 136,Jeff Scott,LIB,5,23
MECKLENBURG,136,PCT 136,Mark Harris,REP,5,767
MECKLENBURG,137,PCT 137,Dan McCready,DEM,5,1820
MECKLENBURG,137,PCT 137,Jeff Scott,LIB,5,56
MECKLENBURG,137,PCT 137,Mark Harris,REP,5,1662
MECKLENBURG,139.1,PCT 139,Dan McCready,DEM,5,1197
MECKLENBURG,139.1,PCT 139,Jeff Scott,LIB,5,41
MECKLENBURG,139.1,PCT 139,Mark Harris,REP,5,868
MECKLENBURG,144,PCT 144,Dan McCready,DEM,5,1294
MECKLENBURG,144,PCT 144,Jeff Scott,LIB,5,36
MECKLENBURG,144,PCT 144,Mark Harris,REP,5,947
MECKLENBURG,215,PCT 215,Dan McCready,DEM,5,1194
MECKLENBURG,215,PCT 215,Jeff Scott,LIB,5,53
MECKLENBURG,215,PCT 215,Mark Harris,REP,5,922
MECKLENBURG,216,PCT 216,Dan McCready,DEM,5,1625
MECKLENBURG,216,PCT 216,Jeff Scott,LIB,5,60
MECKLENBURG,216,PCT 216,Mark Harris,REP,5,1245
MECKLENBURG,217,PCT 217,Dan McCready,DEM,5,918
MECKLENBURG,217,PCT 217,Jeff Scott,LIB,5,22
MECKLENBURG,217,PCT 217,Mark Harris,REP,5,655
MECKLENBURG,218,PCT 218,Dan McCready,DEM,5,731
MECKLENBURG,218,PCT 218,Jeff Scott,LIB,5,33
MECKLENBURG,218,PCT 218,Mark Harris,REP,5,934
MECKLENBURG,219,PCT 219,Dan McCready,DEM,5,679
MECKLENBURG,219,PCT 219,Jeff Scott,LIB,5,44
MECKLENBURG,219,PCT 219,Mark Harris,REP,5,839
MECKLENBURG,220,PCT 220,Dan McCready,DEM,5,937
MECKLENBURG,220,PCT 220,Jeff Scott,LIB,5,40
MECKLENBURG,220,PCT 220,Mark Harris,REP,5,1192
MECKLENBURG,221,PCT 221,Dan McCready,DEM,5,1094
MECKLENBURG,221,PCT 221,Jeff Scott,LIB,5,71
MECKLENBURG,221,PCT 221,Mark Harris,REP,5,1696
MECKLENBURG,226,PCT 226,Dan McCready,DEM,5,1284
MECKLENBURG,226,PCT 226,Jeff Scott,LIB,5,47
MECKLENBURG,226,PCT 226,Mark Harris,REP,5,896
MECKLENBURG,227,PCT 227,Dan McCready,DEM,5,2306
MECKLENBURG,227,PCT 227,Jeff Scott,LIB,5,64
MECKLENBURG,227,PCT 227,Mark Harris,REP,5,1698
MECKLENBURG,232,PCT 232,Dan McCready,DEM,5,1708
MECKLENBURG,232,PCT 232,Jeff Scott,LIB,5,61
MECKLENBURG,232,PCT 232,Mark Harris,REP,5,1401
MECKLENBURG,233,PCT 233,Dan McCready,DEM,5,1502
MECKLENBURG,233,PCT 233,Jeff Scott,LIB,5,37
MECKLENBURG,233,PCT 233,Mark Harris,REP,5,1471
MECKLENBURG,236,PCT 236,Dan McCready,DEM,5,1163
MECKLENBURG,236,PCT 236,Jeff Scott,LIB,5,68
MECKLENBURG,236,PCT 236,Mark Harris,REP,5,1697
MECKLENBURG,ABSENTEE BY MAIL 1-35,NA,Dan McCready,DEM,5,0
MECKLENBURG,ABSENTEE BY MAIL 1-35,NA,Jeff Scott,LIB,5,0
MECKLENBURG,ABSENTEE BY MAIL 1-35,NA,Mark Harris,REP,5,0
MECKLENBURG,ABSENTEE BY MAIL 36-70,NA,Dan McCready,DEM,5,0
MECKLENBURG,ABSENTEE BY MAIL 36-70,NA,Jeff Scott,LIB,5,0
MECKLENBURG,ABSENTEE BY MAIL 36-70,NA,Mark Harris,REP,5,0
MECKLENBURG,ABSENTEE BY MAIL 71-106,NA,Dan McCready,DEM,5,0
MECKLENBURG,ABSENTEE BY MAIL 71-106,NA,Jeff Scott,LIB,5,0
MECKLENBURG,ABSENTEE BY MAIL 71-106,NA,Mark Harris,REP,5,0
MECKLENBURG,CURBSIDE 1-35,NA,Dan McCready,DEM,5,0
MECKLENBURG,CURBSIDE 1-35,NA,Jeff Scott,LIB,5,0
MECKLENBURG,CURBSIDE 1-35,NA,Mark Harris,REP,5,0
MECKLENBURG,CURBSIDE 36-70,NA,Dan McCready,DEM,5,0
MECKLENBURG,CURBSIDE 36-70,NA,Jeff Scott,LIB,5,0
MECKLENBURG,CURBSIDE 36-70,NA,Mark Harris,REP,5,0
MECKLENBURG,CURBSIDE 71-106,NA,Dan McCready,DEM,5,0
MECKLENBURG,CURBSIDE 71-106,NA,Jeff Scott,LIB,5,0
MECKLENBURG,CURBSIDE 71-106,NA,Mark Harris,REP,5,0
MECKLENBURG,PROVISIONAL 1-35,NA,Dan McCready,DEM,5,0
MECKLENBURG,PROVISIONAL 1-35,NA,Jeff Scott,LIB,5,0
MECKLENBURG,PROVISIONAL 1-35,NA,Mark Harris,REP,5,0
MECKLENBURG,PROVISIONAL 36-70,NA,Dan McCready,DEM,5,0
MECKLENBURG,PROVISIONAL 36-70,NA,Jeff Scott,LIB,5,0
MECKLENBURG,PROVISIONAL 36-70,NA,Mark Harris,REP,5,0
MECKLENBURG,PROVISIONAL 71-106,NA,Dan McCready,DEM,5,0
MECKLENBURG,PROVISIONAL 71-106,NA,Jeff Scott,LIB,5,0
MECKLENBURG,PROVISIONAL 71-106,NA,Mark Harris,REP,5,0
RICHMOND,01,ROCKINGHAM #1,Dan McCready,DEM,4,1341
RICHMOND,01,ROCKINGHAM #1,Jeff Scott,LIB,4,45
RICHMOND,01,ROCKINGHAM #1,Mark Harris,REP,4,731
RICHMOND,02,ROCKINGHAM #2,Dan McCready,DEM,4,1080
RICHMOND,02,ROCKINGHAM #2,Jeff Scott,LIB,4,58
RICHMOND,02,ROCKINGHAM #2,Mark Harris,REP,4,1413
RICHMOND,03,ROCKINGHAM #3,Dan McCready,DEM,4,157
RICHMOND,03,ROCKINGHAM #3,Jeff Scott,LIB,4,11
RICHMOND,03,ROCKINGHAM #3,Mark Harris,REP,4,285
RICHMOND,04,WOLF PIT #1,Dan McCready,DEM,4,364
RICHMOND,04,WOLF PIT #1,Jeff Scott,LIB,4,20
RICHMOND,04,WOLF PIT #1,Mark Harris,REP,4,301
RICHMOND,05,WOLF PIT #2,Dan McCready,DEM,4,104
RICHMOND,05,WOLF PIT #2,Jeff Scott,LIB,4,9
RICHMOND,05,WOLF PIT #2,Mark Harris,REP,4,118
RICHMOND,06,WOLF PIT #3,Dan McCready,DEM,4,218
RICHMOND,06,WOLF PIT #3,Jeff Scott,LIB,4,15
RICHMOND,06,WOLF PIT #3,Mark Harris,REP,4,388
RICHMOND,07,WOLF PIT #4,Dan McCready,DEM,4,263
RICHMOND,07,WOLF PIT #4,Jeff Scott,LIB,4,3
RICHMOND,07,WOLF PIT #4,Mark Harris,REP,4,202
RICHMOND,08,MARKS CREEK #1,Dan McCready,DEM,4,1108
RICHMOND,08,MARKS CREEK #1,Jeff Scott,LIB,4,29
RICHMOND,08,MARKS CREEK #1,Mark Harris,REP,4,723
RICHMOND,09,MARKS CREEK #2,Dan McCready,DEM,4,1190
RICHMOND,09,MARKS CREEK #2,Jeff Scott,LIB,4,54
RICHMOND,09,MARKS CREEK #2,Mark Harris,REP,4,1247
RICHMOND,10,BEAVER DAM #1,Dan McCready,DEM,4,309
RICHMOND,10,BEAVER DAM #1,Jeff Scott,LIB,4,10
RICHMOND,10,BEAVER DAM #1,Mark Harris,REP,4,130
RICHMOND,11,BEAVER DAM #2,Dan McCready,DEM,4,306
RICHMOND,11,BEAVER DAM #2,Jeff Scott,LIB,4,8
RICHMOND,11,BEAVER DAM #2,Mark Harris,REP,4,344
RICHMOND,12,MINERAL SPRINGS #1,Dan McCready,DEM,4,403
RICHMOND,12,MINERAL SPRINGS #1,Jeff Scott,LIB,4,17
RICHMOND,12,MINERAL SPRINGS #1,Mark Harris,REP,4,435
RICHMOND,13,MINERAL SPRINGS #2,Dan McCready,DEM,4,186
RICHMOND,13,MINERAL SPRINGS #2,Jeff Scott,LIB,4,6
RICHMOND,13,MINERAL SPRINGS #2,Mark Harris,REP,4,228
RICHMOND,14,STEELES #1,Dan McCready,DEM,4,50
RICHMOND,14,STEELES #1,Jeff Scott,LIB,4,3
RICHMOND,14,STEELES #1,Mark Harris,REP,4,24
RICHMOND,15,STEELES #2,Dan McCready,DEM,4,26
RICHMOND,15,STEELES #2,Jeff Scott,LIB,4,5
RICHMOND,15,STEELES #2,Mark Harris,REP,4,67
RICHMOND,16,BLACK JACK #1,Dan McCready,DEM,4,33
RICHMOND,16,BLACK JACK #1,Jeff Scott,LIB,4,5
RICHMOND,16,BLACK JACK #1,Mark Harris,REP,4,150
RICHMOND,ABSENTEE MAIL,NA,Dan McCready,DEM,4,0
RICHMOND,ABSENTEE MAIL,NA,Jeff Scott,LIB,4,0
RICHMOND,ABSENTEE MAIL,NA,Mark Harris,REP,4,0
RICHMOND,ONE STOP,NA,Dan McCready,DEM,4,0
RICHMOND,ONE STOP,NA,Jeff Scott,LIB,4,0
RICHMOND,ONE STOP,NA,Mark Harris,REP,4,0
RICHMOND,PROVISIONAL,NA,Dan McCready,DEM,4,0
RICHMOND,PROVISIONAL,NA,Jeff Scott,LIB,4,0
RICHMOND,PROVISIONAL,NA,Mark Harris,REP,4,0
ROBESON,01,ALFORDSVILLE,Dan McCready,DEM,4,259
ROBESON,01,ALFORDSVILLE,Jeff Scott,LIB,4,12
ROBESON,01,ALFORDSVILLE,Mark Harris,REP,4,174
ROBESON,02,BACK SWAMP,Dan McCready,DEM,4,620
ROBESON,02,BACK SWAMP,Jeff Scott,LIB,4,34
ROBESON,02,BACK SWAMP,Mark Harris,REP,4,246
ROBESON,03,BRITTS,Dan McCready,DEM,4,263
ROBESON,03,BRITTS,Jeff Scott,LIB,4,12
ROBESON,03,BRITTS,Mark Harris,REP,4,447
ROBESON,04,BURNT SWAMP,Dan McCready,DEM,4,509
ROBESON,04,BURNT SWAMP,Jeff Scott,LIB,4,44
ROBESON,04,BURNT SWAMP,Mark Harris,REP,4,330
ROBESON,05A,FAIRMONT,Dan McCready,DEM,4,1034
ROBESON,05A,FAIRMONT,Jeff Scott,LIB,4,35
ROBESON,05A,FAIRMONT,Mark Harris,REP,4,476
ROBESON,07,GADDYS,Dan McCready,DEM,4,237
ROBESON,07,GADDYS,Jeff Scott,LIB,4,8
ROBESON,07,GADDYS,Mark Harris,REP,4,108
ROBESON,08,EAST HOWELLSVILLE,Dan McCready,DEM,4,256
ROBESON,08,EAST HOWELLSVILLE,Jeff Scott,LIB,4,18
